SID:010,5,BARD3B,RW14R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1430,    ,+,02400,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BARD3B,RW14R,MD800,LE,P,C,EY  , ,   ,CF, ,PDT,LE,D, ,      ,3247,0138,1290,0010, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,BARD3B,RW14R,MD801,LE,P,C,EY  , ,   ,CF, ,PDT,LE,D, ,      ,3318,0075,1370,0064,+,04500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,BARD3B,RW14R,MD810,LE,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BARD3B,RW14R,NVS,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BARD3B,RW14R,GOXOL,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,BARD3B,RW14R,BARDI,LE,E,A,EB  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BARD3N,RW36L,SSY,LE,D, ,VY  , ,   ,CF, ,SSY,LE,D, ,      ,0000,0000,3600,0010,+,02400,     ,13000,-,205,    ,   , , , , , , , , ;
SID:020,5,BARD3N,RW36L,MD901,LE,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BARD3N,RW36L,MD902,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,BARD3N,RW36L,MD911,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BARD3N,RW36L,CNR,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:060,5,BARD3N,RW36L,AVILA,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,BARD3N,RW36L,LONGA,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,BARD3N,RW36L,BARDI,LE,E,A,EB  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BARD3S,RW14R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1430,    ,+,02400,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BARD3S,RW14R,MD030,LE,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,BARD3S,RW14R,MD031,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07600,     ,     ,-,240,    ,   , , , , , , , , ;
SID:035,5,BARD3S,RW14R,MD052,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BARD3S,RW14R,BARDI,LE,E,A,EB  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BARD3V,RW14L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1430,    ,+,02400,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BARD3V,RW14L,MD802,LE,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,BARD3V,RW14L,MD810,LE,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     ,-,240,    ,   , , , , , , , , ;
