SID:030,4,TBIRD7,RW10L,SMGLR,K7,P,C,E   , ,   ,CF, ,FLL,K7,D, ,      ,0209,0399,0700,0049, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,TBIRD7,RW10L,SONNC,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,TBIRD7,RW10L,AHABB,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,TBIRD7,RW10L,BAGGR,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,TBIRD7,RW14, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1410,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,TBIRD7,RW14,CRRMN,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,0212,0374,0830,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,TBIRD7,RW14,SMGLR,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,4,TBIRD7,RW14,SONNC,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,TBIRD7,RW14,AHABB,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,TBIRD7,RW14,BAGGR,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,TBIRD7,RW28R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2790,    ,+,00520,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,TBIRD7,RW28R,CRYER,K7,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,TBIRD7,RW28R,UTLEY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,TBIRD7,RW28R,BAGGR,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,TBIRD7,RW32, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3210,    ,+,00520,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,TBIRD7,RW32,BAYBE,K7,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,TBIRD7,RW32,BAGGR,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,TBIRD7, ,BAGGR,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,5,TBIRD7, ,TBIRD,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,TBIRD7,CHEFS,TBIRD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,6,TBIRD7,CHEFS,CHEFS,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,TBIRD7,KPASA,TBIRD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,6,TBIRD7,KPASA,SIGME,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,TBIRD7,KPASA,PANNT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,TBIRD7,KPASA,MATLK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,TBIRD7,KPASA,HAHNA,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,TBIRD7,KPASA,KPASA,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,TBIRD7,MATLK,TBIRD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,6,TBIRD7,MATLK,SIGME,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,TBIRD7,MATLK,PANNT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,TBIRD7,MATLK,MATLK,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,TBIRD7,SHRKS,TBIRD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,6,TBIRD7,SHRKS,SIGME,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,TBIRD7,SHRKS,PANNT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,TBIRD7,SHRKS,MATLK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,TBIRD7,SHRKS,WAKKO,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,TBIRD7,SHRKS,MJAMS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,6,TBIRD7,SHRKS,SHRKS,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,TBIRD7,SMELZ,TBIRD,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,6,TBIRD7,SMELZ,SIGME,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,TBIRD7,SMELZ,PANNT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,TBIRD7,SMELZ,MATLK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
