SID:010,2,BIMA1C,RW31, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3100,    ,+,00800,     ,11000, ,   ,    ,   ,MAK,WA,D, ,B, , , ;
SID:020,2,BIMA1C,RW31,MKS,WA,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BIMA1C,RW31,BIMAK,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BIMA1D,RW31,MKS,WA,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,11000, ,   ,    ,   ,MAK,WA,D, ,B, , , ;
SID:020,2,BIMA1D,RW31,MKS,WA,D, ,V   , ,   ,FA, ,MKS,WA,D, ,      ,0000,0000,3590,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BIMA1D,RW31, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1790,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIMA1D,RW31,MKS,WA,D, ,V   , ,   ,CF, ,MKS,WA,D, ,      ,0000,0000,2390,0050,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BIMA1D,RW31,BIMAK,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EMON1J,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3100,    ,+,01000,     ,11000, ,   ,    ,   ,WAAA,WA,P,A, , , , ;
SID:020,5,EMON1J,RW31,OLRUP,WA,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EMON1J,RW31,IGDAD,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EMON1J,RW31,ENVUG,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EMON1J,RW31,UGURU,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EMON1J,RW31,EMONA,WA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EMON2A,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0300,    ,+,00550,     ,11000, ,   ,    ,   ,WAAA,WA,P,A, , , , ;
SID:020,5,EMON2A,RW03,AULIA,WA,P,C,E   , ,   ,CF, ,MKS,WA,D, ,      ,0223,0051,3600,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EMON2A,RW03,OLRUP,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EMON2A,RW03,IGDAD,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EMON2A,RW03,ENVUG,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EMON2A,RW03,UGURU,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,EMON2A,RW03,EMONA,WA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EMON2B,RW21,YANKA,WA,P,C,E   , ,   ,CF, ,MKS,WA,D, ,      ,1847,0060,2100,0040, ,     ,     ,11000, ,   ,    ,   ,WAAA,WA,P,A, , , , ;
SID:020,5,EMON2B,RW21,AINDI,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EMON2B,RW21,APURA,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EMON2B,RW21,DITIA,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EMON2B,RW21,AYAMA,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EMON2B,RW21,OSUGU,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,EMON2B,RW21,ELQIU,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,EMON2B,RW21,EMONA,WA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ENDO1A,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0300,    ,+,00550,     ,11000, ,   ,    ,   ,WAAA,WA,P,A, , , , ;
SID:020,5,ENDO1A,RW03,AULIA,WA,P,C,E   , ,   ,CF, ,MKS,WA,D, ,      ,0223,0051,3600,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ENDO1A,RW03,LUHAK,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ENDO1A,RW03,LULSU,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
