APPCH:010,A,I32,BAT,BAT,OE,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I32,BAT,DATEL,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01524,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I32,BAT,DATEL,OE,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,3190,T010,+,01524,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I32, ,CI32,OE,P,C,E  I, ,   ,IF, ,IBAT,OE,P,I,      ,1391,0073,    ,    ,J,01524,01524,15000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I32, ,DATEL,OE,P,C,E  F, ,   ,CF, ,IBAT,OE,P,I,      ,1391,0053,3190,0020,H,01524,01524,     , ,   ,-280,   ,BAT,OE,D, , ,0,D,S;
APPCH:030,I,I32, ,RW32,OE,P,G,G  M, ,   ,CF, ,IBAT,OE,P,I,      ,1391,0012,3190,0041, ,00295,     ,     , ,   ,-280,   , , , , , ,0,D,S;
APPCH:040,I,I32, ,RW32,OE,P,G,G M , ,   ,FA, ,BAT,OE,D, ,      ,1590,0004,3190,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I32, ,BAT,OE,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,01524,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I32, ,BAT,OE,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,1490,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,S14,BAT,BAT,OE,D, ,V  A,R,   ,PI, ,BAT,OE,D, ,      ,0000,0000,2660,0100,+,01500,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S14,BAT,FS14,OE,P,C,EE  , ,   ,CF, ,BAT,OE,D, ,      ,3110,0043,1310,0057,+,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S14, ,FS14,OE,P,C,E  F, ,   ,IF, ,BAT,OE,D, ,      ,3110,0043,    ,    ,+,01500,     ,15000, ,   ,    ,   ,BAT,OE,D, , ,0, ,S;
APPCH:030,S,S14, ,RW14,OE,P,G,G  M, ,   ,CF, ,BAT,OE,D, ,      ,3040,0005,1310,0038, ,00308,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S14, ,BAT,OE,D, ,V M , ,   ,CF, ,BAT,OE,D, ,      ,0000,0000,1310,0005,+,00660,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S14, ,BAT,OE,D, ,V   , ,   ,FA, ,BAT,OE,D, ,      ,0000,0000,1310,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S14, ,BAT,OE,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,S,S14, ,BAT,OE,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,3110,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S32,BAT,BAT,OE,D, ,V  A,L,   ,PI, ,BAT,OE,D, ,      ,0000,0000,1940,0100,+,01500,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S32,BAT,FS32,OE,P,C,EE  , ,   ,CF, ,BAT,OE,D, ,      ,1490,0042,3290,0058,+,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S32, ,FS32,OE,P,C,E  F, ,   ,IF, ,BAT,OE,D, ,      ,1490,0042,    ,    ,+,01500,     ,15000, ,   ,    ,   ,BAT,OE,D, , ,0, ,S;
APPCH:030,S,S32, ,RW32,OE,P,G,G  M, ,   ,CF, ,BAT,OE,D, ,      ,1590,0004,3290,0038, ,00295,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S32, ,BAT,OE,D, ,V M , ,   ,CF, ,BAT,OE,D, ,      ,0000,0000,3290,0004,+,00660,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S32, ,BAT,OE,D, ,V   , ,   ,FA, ,BAT,OE,D, ,      ,0000,0000,3290,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S32, ,BAT,OE,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,S,S32, ,BAT,OE,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,1490,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW14 ,     ,      ,00258, ,    , ,   ;N24131627,E051263817,0000;
RWY:RW32 ,     ,      ,00234, ,IBAT,1,   ;N24123328,E051271601,0000;
