SID:010,2,BLN2N,RW09,GRA,LE,D,B,E   , ,   ,CF, ,GDA,LE,D, ,      ,0885,0150,0900,0040,+,03500,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:030,2,BLN2N,RW09, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0310,    ,+,06200,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,BLN2N,RW09,VIBAS,LE,E,A,E C , ,   ,CF, ,GDA,LE,D, ,      ,0539,0213,0010,0110,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BLN2N,RW09,BLN,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BLN2V,RW27,GDA,LE,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:030,2,BLN2V,RW27, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0470,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,BLN2V,RW27,BLN,LE,D, ,VE  , ,   ,CF, ,BLN,LE,D, ,      ,0000,0000,0170,0560,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MAR1N,RW09,GRA,LE,D,B,E   , ,   ,CF, ,GDA,LE,D, ,      ,0885,0150,0900,0040,+,03500,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:020,2,MAR1N,RW09, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2620,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,MAR1N,RW09,GDA,LE,D, ,V   , ,   ,CF, ,GDA,LE,D, ,      ,0000,0000,2920,0120,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MAR1N,RW09,MAR,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,MAR3V,RW27,GDA,LE,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:030,2,MAR3V,RW27,MAR,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SVL1N,RW09,GRA,LE,D,B,E   , ,   ,CF, ,GDA,LE,D, ,      ,0885,0150,0900,0040,+,03500,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:020,2,SVL1N,RW09, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2620,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,SVL1N,RW09,GDA,LE,D, ,V   , ,   ,CF, ,GDA,LE,D, ,      ,0000,0000,2920,0120,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SVL1N,RW09,SVL,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,SVL2V,RW27,GDA,LE,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:030,2,SVL2V,RW27,SVL,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
