STAR:010,2,CCS2A,RW31,CCS,LE,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,I,I31-Y, ,CI31Y,LE,P,C,E  I, ,   ,IF, ,ITL,LE,P,I,      ,1266,0095,    ,    ,J,02500,02500,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I31-Y, ,FF31Y,LE,P,C,E  F, ,   ,CF, ,ITL,LE,P,I,      ,1266,0075,3070,0020,H,02500,02500,     , ,   ,-300,   ,VBZ,LE,D, , ,0,D,S;
APPCH:030,I,I31-Y, ,RW31,LE,P,G,G  M, ,   ,CF, ,ITL,LE,P,I,      ,1266,0017,3070,0058, ,00661,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I31-Y, ,RW31,LE,P,G,G M , ,   ,FD, ,VBZ,LE,D, ,      ,1356,0005,3070,0020, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I31-Y, ,D127H,LE,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I31-Y, ,D127H,LE,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3070,T010,+,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I31-Z,NIMAS,NIMAS,LE,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I31-Z,NIMAS,NIMAS,LE,E,A,E C , ,   ,FD, ,VBZ,LE,D, ,      ,0860,0200,2660,0170, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I31-Z,NIMAS, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2660,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I31-Z,NIMAS,D119O,LE,P,C,EY  ,R,   ,AF, ,VBZ,LE,D, ,      ,1190,0150,0860,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,I31-Z,NIMAS,CI31Z,LE,P,C,EE B, ,   ,CF, ,ITL,LE,P,I,      ,1266,0122,3070,0040,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I31-Z,VASOR,VASOR,LE,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I31-Z,VASOR,VASOR,LE,E,A,E C , ,   ,FD, ,VBZ,LE,D, ,      ,1760,0200,3560,0170, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I31-Z,VASOR, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3560,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
