SID:030,2,AMUV2C, ,D129J,MS,P,C,E   ,R,   ,AF, ,YSV,MS,D, ,      ,1294,0100,0480,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,AMUV2C, ,D141J,MS,P,C,E   ,R,   ,AF, ,YSV,MS,D, ,      ,1406,0100,1290,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,AMUV2C, ,AMUVO,MS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ATUM2D,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1550,    ,+,02500,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,ATUM2D,RW15, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ATUM2D,RW15,D048G,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,0480,0070,0480,0020, ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ATUM2D,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3350,    ,+,02500,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,ATUM2D,RW33, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ATUM2D,RW33,D048G,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,0480,0070,0480,0026, ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATUM2D, ,D048G,MS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,05000,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,2,ATUM2D, ,ATUMA,MS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ILOT2C,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1550,    ,+,02500,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,ILOT2C,RW15, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ILOT2C,RW15,D048G,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,0480,0070,0480,0020, ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ILOT2C,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3350,    ,+,02500,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,ILOT2C,RW33, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ILOT2C,RW33,D048G,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,0480,0070,0480,0030, ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ILOT2C, ,D048G,MS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,05000,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,2,ILOT2C, ,D048J,MS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,ILOT2C, ,D129J,MS,P,C,E   ,R,   ,AF, ,YSV,MS,D, ,      ,1294,0100,0480,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ILOT2C, ,D141J,MS,P,C,E   ,R,   ,AF, ,YSV,MS,D, ,      ,1406,0100,1290,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ILOT2C, ,D152J,MS,P,C,E   ,R,   ,AF, ,YSV,MS,D, ,      ,1513,0100,1410,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ILOT2C, ,ILOTI,MS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,IMAL2A,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1550,    ,+,02500,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,IMAL2A,RW15, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,IMAL2A,RW15,FF15,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,3350,0080,3350,0050,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,IMAL2A,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3350,    ,+,02430,     ,19500, ,   ,    ,   ,YSV,MS,D, , , , , ;
SID:020,1,IMAL2A,RW33,FF15,MS,P,C,EE  , ,   ,CF, ,YSV,MS,D, ,      ,3350,0080,3350,0070,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
