SID:010,4,BNYRD6,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0320,    ,+,01910,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BNYRD6,RW03, , , , ,    ,L,   ,VM, , , , , ,      ,    ,    ,3350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BNYRD6,RW03,BNYRD,K2,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BNYRD6,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2120,    ,+,01910,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BNYRD6,RW21, , , , ,    ,R,   ,VM, , , , , ,      ,    ,    ,3350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BNYRD6,RW21,BNYRD,K2,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BNYRD6, ,BNYRD,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BNYRD6, ,TFD,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BNYRD6,TUS,TFD,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,BNYRD6,TUS,TUS,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,FTHLS6,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0320,    ,+,01910,     ,18000, ,   ,    ,   , , , , , , , , ;
