SID:010,5,ASKE1R,RW04L,DR04L,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,5,ASKE1R,RW04L,AO114,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,310,    ,   , , , , , , , , ;
SID:030,5,ASKE1R,RW04L,AO115,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:040,5,ASKE1R,RW04L,ASKER,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,5,ASKE1S,RW04R,DR04R,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,5,ASKE1S,RW04R,AO114,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,310,    ,   , , , , , , , , ;
SID:030,5,ASKE1S,RW04R,AO115,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:040,5,ASKE1S,RW04R,ASKER,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,4,RASV2R,RW22L,DR22L,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,4,RASV2R,RW22L,AO117,LT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,4,RASV2R,RW22R,DR22R,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,4,RASV2R,RW22R,AO117,LT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:015,5,RASV2R, ,AO117,LT,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,5,RASV2R, ,AO118,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,310,    ,   , , , , , , , , ;
SID:040,5,RASV2R, ,RASVA,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,5,UREB1R,RW04L,DR04L,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,5,UREB1R,RW04L,AO114,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,310,    ,   , , , , , , , , ;
SID:030,5,UREB1R,RW04L,AO115,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:040,5,UREB1R,RW04L,AO116,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     ,-,310,    ,   , , , , , , , , ;
SID:050,5,UREB1R,RW04L,UREBO,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,5,UREB1S,RW04R,DR04R,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,5,UREB1S,RW04R,AO114,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UREB1S,RW04R,AO115,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,310,    ,   , , , , , , , , ;
SID:040,5,UREB1S,RW04R,AO116,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     ,-,310,    ,   , , , , , , , , ;
SID:050,5,UREB1S,RW04R,UREBO,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     ,-,310,    ,   , , , , , , , , ;
SID:010,4,UREB2R,RW22L,DR22L,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,310,    ,   ,LTAO,LT,P,A, , , , ;
SID:020,4,UREB2R,RW22L,AO117,LT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     ,-,310,    ,   , , , , , , , , ;
