SID:010,2,ANRA1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,ANRA1A,RW12,PAV,SE,D, ,V   , ,   ,FD, ,PAV,SE,D, ,      ,0000,0000,1210,0060,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ANRA1A,RW12,D078J,SE,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANRA1A,RW12,ANRAD,SE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ASIB1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,ASIB1A,RW12,PAV,SE,D, ,V   , ,   ,FD, ,PAV,SE,D, ,      ,0000,0000,1210,0060,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ASIB1A,RW12,D107J,SE,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ASIB1A,RW12,ASIBU,SE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATEK1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,ATEK1A,RW12,PAV,SE,D, ,V   , ,   ,FD, ,PAV,SE,D, ,      ,0000,0000,1210,0060,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ATEK1A,RW12,D094J,SE,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ATEK1A,RW12,ATEKI,SE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BOGE1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,BOGE1A,RW12,D121F,SE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BOGE1A,RW12,BOGEX,SE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DADU1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,DADU1A,RW12,D121F,SE,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DADU1A,RW12,D152J,SE,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DADU1A,RW12,DADUB,SE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,JUV1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,JUV1A,RW12,PAV,SE,D, ,V   , ,   ,FD, ,PAV,SE,D, ,      ,0000,0000,1210,0060,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,JUV1A,RW12,D050J,SE,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,JUV1A,RW12,JUV,SE,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KOKT1A,RW12,PAV,SE,D, ,V C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,06000, ,   ,    ,   ,PAV,SE,D, , , , , ;
SID:020,2,KOKT1A,RW12,D121F,SE,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KOKT1A,RW12,D177J,SE,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
