SID:010,5,ARVI2D,RW24,ARVIR,SB,P,C,EB  , ,010,CF, ,VRI,SB,D, ,      ,2242,0044,2210,0040,+,01800,     ,05000,-,230,    ,   ,SBVT,SB,P,A,B, , , ;
SID:010,6,ARVI2D,GIDOD,ARVIR,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01800,     ,05000,-,230,    ,   ,SBVT,SB,P,A,B, , , ;
SID:020,6,ARVI2D,GIDOD,VT053,SB,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ARVI2D,GIDOD,VT107,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ARVI2D,GIDOD,GIDOD,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ARVI2D,MABSI,ARVIR,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01800,     ,05000,-,230,    ,   ,SBVT,SB,P,A,B, , , ;
SID:020,6,ARVI2D,MABSI,MABSI,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ARVI2D,OPLOX,ARVIR,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01800,     ,05000,-,230,    ,   ,SBVT,SB,P,A,B, , , ;
SID:020,6,ARVI2D,OPLOX,UMLUR,SB,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ARVI2D,OPLOX,VT106,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ARVI2D,OPLOX,OPLOX,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ARVI2D,TERAT,ARVIR,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01800,     ,05000,-,230,    ,   ,SBVT,SB,P,A,B, , , ;
SID:020,6,ARVI2D,TERAT,UMLUR,SB,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
