SID:020,5,UDMO1B,RW26,SK506,FB,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UDMO1B,RW26,SK507,FB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,UDMO1B,RW26,UDMOT,FB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UDMO1B,AKUTA,UDMOT,FB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GSV,FB,D, , , , , ;
SID:020,6,UDMO1B,AKUTA,AKUTA,FB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UDMO1B,KUTLA,UDMOT,FB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GSV,FB,D, , , , , ;
SID:020,6,UDMO1B,KUTLA,KUTLA,FB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,UDMO2A,RW08, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0790,    ,+,04000,     ,07000, ,   ,    ,   ,GSV,FB,D, , , , , ;
SID:020,5,UDMO2A,RW08,SK501,FB,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UDMO2A,RW08,UDMOT,FB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UDMO2A,AKUTA,UDMOT,FB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GSV,FB,D, , , , , ;
SID:020,6,UDMO2A,AKUTA,AKUTA,FB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UDMO2A,KUTLA,UDMOT,FB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GSV,FB,D, , , , , ;
SID:020,6,UDMO2A,KUTLA,KUTLA,FB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
