SID:010,2,BOKU1A,RW33, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3360,    ,+,00460,     ,18000, ,   ,    ,   ,LCE,SK,D, , , , , ;
SID:020,2,BOKU1A,RW33,D320J,SK,P,C,E   , ,   ,CF, ,LCE,SK,D, ,      ,3236,0100,3200,0100,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BOKU1A,RW33,D047J,SK,P,C,E   ,R,   ,AF, ,LCE,SK,D, ,      ,0491,0100,3200,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BOKU1A,RW33,BOKUS,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BOKU1H,RW33,ILSOG,SK,P,C,E   , ,010,CF, ,UIB,SK,D, ,      ,0035,1289,3360,0020,+,00900,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BOKU1H,RW33,SIMUL,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BOKU1H,RW33,BOKUS,SK,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BOKU1K,RW15, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1540,    ,+,00460,     ,18000, ,   ,    ,   ,LCE,SK,D, , , , , ;
SID:020,2,BOKU1K,RW15,D150J,SK,P,C,E   , ,   ,CF, ,LCE,SK,D, ,      ,1516,0100,1500,0090,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BOKU1K,RW15,D047J,SK,P,C,E   ,L,   ,AF, ,LCE,SK,D, ,      ,0491,0100,1500,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BOKU1K,RW15,BOKUS,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ISRA1F,RW15,GUVOK,SK,P,C,E   , ,010,CF, ,UIB,SK,D, ,      ,0048,1235,1560,0030,+,01200,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ISRA1F,RW15,VOTSO,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ISRA1F,RW15,LC906,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ISRA1F,RW15,ISRAP,SK,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ISRA1H,RW33, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3360,    ,+,00460,     ,18000, ,   ,    ,   ,LCE,SK,D, , , , , ;
SID:020,2,ISRA1H,RW33,D320J,SK,P,C,E   , ,   ,CF, ,LCE,SK,D, ,      ,3236,0100,3200,0100,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ISRA1H,RW33,D183J,SK,P,C,E   ,L,   ,AF, ,LCE,SK,D, ,      ,1848,0100,3200,    ,+,06900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ISRA1H,RW33,ISRAP,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ISRA1J,RW15, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1540,    ,+,00460,     ,18000, ,   ,    ,   ,LCE,SK,D, , , , , ;
SID:020,2,ISRA1J,RW15,D150J,SK,P,C,E   , ,   ,CF, ,LCE,SK,D, ,      ,1516,0100,1500,0090,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ISRA1J,RW15,D183J,SK,P,C,E   ,R,   ,AF, ,LCE,SK,D, ,      ,1848,0100,1500,    ,+,04200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ISRA1J,RW15,ISRAP,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ISRA2E,RW33,ILSOG,SK,P,C,E   , ,010,CF, ,UIB,SK,D, ,      ,0035,1289,3360,0020,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ISRA2E,RW33,DOKMI,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ISRA2E,RW33,VOTSO,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ISRA2E,RW33,LC906,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ISRA2E,RW33,ISRAP,SK,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
