STAR:010,5,TILI1A,RW05,TILIR,FA,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,220,    ,   ,FAKN,FA,P,A, , , , ;
STAR:020,5,TILI1A,RW05,MASHO,FA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
APPCH:010,D,D05, ,CD05,FA,P,C,E  I, ,   ,IF, ,PKV,FA,D, ,      ,2390,0125,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D05, ,FD05,FA,P,C,E  F, ,   ,CF, ,PKV,FA,D, ,      ,2390,0103,0590,0022,+,05800,     ,     , ,   ,    ,   ,PKV,FA,D, ,A,0, ,S;
APPCH:030,D,D05, ,RW05,FA,P,G,G  M, ,   ,CF, ,PKV,FA,D, ,      ,2445,0009,0590,0094, ,02873,     ,     , ,   ,-292,   , , , , , ,0, ,S;
APPCH:040,D,D05, ,PKV,FA,D, ,V M , ,   ,CF, ,PKV,FA,D, ,      ,0000,0000,0590,0009, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D05, ,PKV,FA,D, ,V   , ,   ,FD, ,PKV,FA,D, ,      ,0000,0000,0590,0050,+,06500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D05, ,PKV,FA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,D,D05, ,PKV,FA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0590,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D23, ,CD23,FA,P,C,E  I, ,   ,IF, ,PKV,FA,D, ,      ,0450,0123,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D23, ,FD23,FA,P,C,E  F, ,   ,CF, ,PKV,FA,D, ,      ,0450,0097,2250,0026,+,05800,     ,     , ,   ,    ,   ,PKV,FA,D, ,A,0, ,S;
APPCH:030,D,D23, ,RW23,FA,P,G,G  M, ,   ,CF, ,PKV,FA,D, ,      ,0343,0006,2250,0092, ,02878,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D23, ,PKV,FA,D, ,V M , ,   ,CF, ,PKV,FA,D, ,      ,0000,0000,2250,0006, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D23, ,PKV,FA,D, ,V   , ,   ,FD, ,PKV,FA,D, ,      ,0000,0000,2250,0050,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D23, ,PKV,FA,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,D,D23, ,PKV,FA,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2250,T015, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,I05-Y,D234R,D234R,FA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I05-Y,D234R,CI05Y,FA,P,C,EE B, ,   ,CF, ,PKI,FA,P,I,      ,2342,0154,0540,0042,+,07200,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I05-Y, ,CI05Y,FA,P,C,E  I, ,   ,IF, ,PKI,FA,P,I,      ,2342,0154,    ,    ,J,07200,05800,     , ,   ,    ,   , , , , , ,0,D,S;
