SID:010,5,AKUMY5,RW02, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0220,    ,+,02607,     ,18000, ,   ,    ,   ,PAKP,PA,P,A, , , , ;
SID:020,5,AKUMY5,RW02,MUSDE,PA,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AKUMY5,RW02,FIIAT,PA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AKUMY5,RW02,INTON,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AKUMY5,RW02,BOHNU,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AKUMY5,RW02,AGEME,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,AKUMY5,RW02,AKUMY,PA,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,RNVA,AKUMY,AKUMY,PA,E,A,EE C,R,   ,HF, , , , , ,      ,    ,    ,0380,0070,+,09000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,HUXOD,HUXOD,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,HUXOD,AKUMY,PA,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,LICIT,LICIT,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,LICIT,AKUMY,PA,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,AKUMY,PA,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,GESTE,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0380,0130,+,07400,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNVA, ,UPINE,PA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,0390,0090, ,06240,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, ,DESCA,PA,P,C,E M , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,HEPKU,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNVA, ,ZETUV,PA,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:070,R,RNVA, ,ZETUV,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2720,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVC,ZETUV,ZETUV,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVC,ZETUV,HIBRO,PA,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVC,ZETUV,POLYS,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVC, ,POLYS,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:015,R,RNVC, ,GYRED,PA,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,2140,0046,+,04800,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVC, ,HEPKU,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2140,0068,+,03900,     ,     , ,   ,    ,   ,HANTU,PA,P,C, ,B,J,C;
APPCH:030,R,RNVC, ,HANTU,PA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1850,0050, ,03220,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVC, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1850,    ,+,03220,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVC, ,CAVIG,PA,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNVC, ,ZETUV,PA,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,240,    ,   , , , , , ,B,J,C;
APPCH:070,R,RNVC, ,ZETUV,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2720,0070,+,10000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW02 ,     ,      ,02053, ,    , ,   ;N68074244,W151451531,0000;
RWY:RW20 ,     ,      ,02106, ,    , ,   ;N68081947,W151435672,0000;
