APPCH:010,A,D35,UPV1,UPV,FA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D35,UPV1,UPV,FA,D, ,V   ,L,   ,PI, ,UPV,FA,D, ,      ,0000,0000,2130,0100,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D35,UPV1,FD35,FA,P,C,EE  , ,   ,CF, ,UPV,FA,D, ,      ,1680,0080,3480,0020,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D35,UPV2,UPV,FA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D35,UPV2,UPV,FA,D, ,VE H,L,   ,HF, , , , , ,      ,    ,    ,3480,0080,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D35, ,FD35,FA,P,C,E  F, ,   ,IF, ,UPV,FA,D, ,      ,1680,0080,    ,    ,+,04500,     ,     , ,   ,    ,   ,UPV,FA,D, , ,0, ,S;
APPCH:030,D,D35, ,RW35,FA,P,G,G  M, ,   ,CF, ,UPV,FA,D, ,      ,1639,0013,3480,0067, ,02761,     ,     , ,   ,-245,   , , , , , ,0, ,S;
APPCH:040,D,D35, ,UPV,FA,D, ,VYM , ,   ,CF, ,UPV,FA,D, ,      ,0000,0000,3480,0013, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D35, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3480,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D35, ,UPV,FA,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R35,UP1N1,UP1N1,FA,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:020,A,R35,UP1N1,UP1T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:010,A,R35,UP1N2,UP1N2,FA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:020,A,R35,UP1N2,UP1T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:010,R,R35, ,UP1T1,FA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:020,R,R35, ,UP1F1,FA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3530,0050,+,04400,     ,     ,-,185,    ,   , , , , , ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R35, ,UP1MP,FA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3530,0052, ,02761,     ,     ,-,185,-300,   , , , , , ,B,J,S;
APPCH:040,R,R35, ,UP1MP,FA,P,C,E M , ,010,FA, ,UPV,FA,D, ,      ,1639,0013,3530,    ,+,04500,     ,     ,-,265,    ,   , , , , , ,B,J,S;
APPCH:050,R,R35, ,UP1N1,FA,P,C,EE H,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW01 ,     ,      ,02723, ,    , ,   ;S28244664,E021153808,0000;
RWY:RW08 ,     ,      ,02748, ,    , ,   ;S28241774,E021152901,0000;
RWY:RW17 ,     ,      ,02782, ,    , ,   ;S28224740,E021150760,0000;
RWY:RW19 ,     ,      ,02791, ,    , ,   ;S28232875,E021152207,0000;
RWY:RW26 ,     ,      ,02753, ,    , ,   ;S28240415,E021155526,0000;
RWY:RW35 ,     ,      ,02711, ,    , ,   ;S28250980,E021162800,0000;
