SID:010,5,BUDI3R,RW09,ZL001,LE,P,C,E   , ,   ,CF, ,SVL,LE,D, ,      ,2602,0030,0910,0030,+,00800,     ,06000,-,210,    ,   , , , , , , , , ;
SID:020,5,BUDI3R,RW09,SVL,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BUDI3R,RW09,AMOTA,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BUDI3R,RW09,VEREG,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BUDI3R,RW09,KOSEL,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BUDI3R,RW09,BUDIT,LE,E,A,EBC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,BUDI4G,RW27,DER27,LE,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:010,5,BUDI4G,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2700,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,5,BUDI4G,RW27,EPIXI,LE,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,BUDI4G,RW27,CDB,LE,D, ,V   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL145,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BUDI4G,RW27,USERA,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BUDI4G,RW27,BUDIT,LE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,CLAN4G,RW27, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2710,    ,+,00600,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,CLAN4G,RW27,LAMAR,LE,P,C,E   , ,   ,CF, ,SVL,LE,D, ,      ,2751,0150,2750,0070,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,CLAN4G,RW27,D221V,LE,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,CLAN4G,RW27,CORIA,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,CLAN4G,RW27,CLANA,LE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,CLAN4R,RW09, , , , ,    , ,   ,VD, ,SVL,LE,D, ,      ,    ,    ,0910,0035, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,CLAN4R,RW09,SVL,LE,D, ,V   ,R,   ,FD, ,SVL,LE,D, ,      ,0000,0000,2260,0270,+,FL070,     ,     ,-,210,    ,   , , , , , , , , ;
SID:035,2,CLAN4R,RW09, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
