SID:010,2,ADRE1A,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0990,    ,+,02710,     ,10000, ,   ,    ,   ,GAZ,LT,D, , , , , ;
SID:020,2,ADRE1A,RW10,D107G,LT,P,C,EY  , ,   ,CF, ,GAZ,LT,D, ,      ,1070,0070,1070,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADRE1A,RW10,GAZ,LT,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADRE1A,RW10,ADRES,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADRE1B,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2790,    ,+,02710,     ,10000, ,   ,    ,   ,GAZ,LT,D, , , , , ;
SID:020,2,ADRE1B,RW28,D276G,LT,P,C,E   , ,   ,CF, ,GAZ,LT,D, ,      ,2760,0070,2760,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADRE1B,RW28,D327G,LT,P,C,E   ,R,   ,AF, ,GAZ,LT,D, ,      ,3271,0070,2760,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADRE1B,RW28,ADRES,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARPA1M,RW28,AJ035,LT,P,C,E   , ,010,CF, ,GAZ,LT,D, ,      ,2760,0070,2770,0066,+,04500,     ,10000,-,250,    ,   ,GAZ,LT,D, , , , , ;
SID:020,5,ARPA1M,RW28,ABDAT,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ARPA1M,RW28,AJ062,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,07000,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARPA1M,RW28,ARPAG,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARPA1P,RW10,AJ910,LT,P,C,E   , ,010,CF, ,GAZ,LT,D, ,      ,1001,0071,0990,0060, ,     ,     ,10000,-,240,    ,   ,GAZ,LT,D, , , , , ;
SID:020,5,ARPA1P,RW10,AJ950,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,260,    ,   , , , , , , , , ;
SID:030,5,ARPA1P,RW10,AJ960,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARPA1P,RW10,AJ970,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ARPA1P,RW10,OTVUN,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ARPA1P,RW10,ARPAG,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARTA1M,RW28,AJ035,LT,P,C,E   , ,010,CF, ,GAZ,LT,D, ,      ,2760,0070,2770,0066,+,04500,     ,10000,-,250,    ,   ,GAZ,LT,D, , , , , ;
SID:020,5,ARTA1M,RW28,ABDAT,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ARTA1M,RW28,AJ064,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,07500,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARTA1M,RW28,AJ769,LT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ARTA1M,RW28,ELGEX,LT,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ARTA1M,RW28,ARTAR,LT,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
