APPCH:050,R,R28, ,DUPUF,PW,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R28, ,DUPUF,PW,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,0960,0040,-,FL060,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,T10,TERAA,TERAA,PW,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL058,     ,05500, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T10,TERAA,WARDA,PW,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T10, ,WARDA,PW,P,C,E  I, ,   ,IF, ,AWK,PW,D, ,      ,2660,0120,    ,    ,+,03900,     ,05500, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T10, ,MILZY,PW,P,C,E  F, ,   ,CF, ,AWK,PW,D, ,      ,2660,0060,0860,0060,+,02000,     ,     , ,   ,    ,   ,AWK,PW,D, ,B,0,D,S;
APPCH:030,T,T10, ,JOBEN,PW,P,C,E  M, ,   ,CF, ,AWK,PW,D, ,      ,2660,0008,0860,0052, ,00264,     ,     , ,   ,-315,   , , , , , ,0,D,S;
APPCH:040,T,T10, ,BRYSA,PW,P,C,E M , ,   ,CF, ,AWK,PW,D, ,      ,1000,0170,1000,0178,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T10, ,BRYSA,PW,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2800,T010,-,06000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,T28,BRYSA,BRYSA,PW,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL058,     ,05500, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T28,BRYSA,BRWNS,PW,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T28, ,BRWNS,PW,P,C,E  I, ,   ,IF, ,AWK,PW,D, ,      ,1000,0130,    ,    ,+,03800,     ,05500, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T28, ,DYLON,PW,P,C,E  F, ,   ,CF, ,AWK,PW,D, ,      ,1000,0070,2800,0060,+,01900,     ,     , ,   ,    ,   ,AWK,PW,D, ,B,0,D,S;
APPCH:030,T,T28, ,HEGVI,PW,P,C,E  M, ,   ,CF, ,AWK,PW,D, ,      ,1000,0019,2800,0051, ,00248,     ,     , ,   ,-305,   , , , , , ,0,D,S;
APPCH:040,T,T28, ,TERAA,PW,P,C,E M , ,   ,CF, ,AWK,PW,D, ,      ,2660,0170,2660,0189,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T28, ,TERAA,PW,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0860,T010,-,06000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW10 ,+0000,      ,00023, ,    , ,   ;N19170691,E166372163,0000;
RWY:RW28 ,+0000,      ,00020, ,    , ,   ;N19164704,E166390224,0000;
