APPCH:010,A,D10,EBGOP,EBGOP,CY,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D10,EBGOP,PEMLA,CY,P,C,EE B,R,   ,AF, ,YVQ,CY,D, ,      ,2787,0150,2040,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D10,MELGU,MELGU,CY,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D10,MELGU,PEMLA,CY,P,C,EE B,L,   ,AF, ,YVQ,CY,D, ,      ,2787,0150,3030,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D10, ,PEMLA,CY,P,C,E  I, ,   ,IF, ,YVQ,CY,D, ,      ,2787,0150,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:015,D,D10, ,VODUS,CY,P,C,E S , ,   ,CF, ,YVQ,CY,D, ,      ,2787,0095,0990,0055,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D10, ,NORMN,CY,P,C,E  F, ,   ,CF, ,YVQ,CY,D, ,      ,2787,0060,0990,0035,+,01600,     ,     , ,   ,-365,   ,YVQ,CY,D, , ,0, ,S;
APPCH:030,D,D10, ,RW10,CY,P,G,G  M, ,   ,CF, ,YVQ,CY,D, ,      ,2787,0026,0990,0034, ,00287,     ,     , ,   ,-365,   , , , , , ,0, ,S;
APPCH:040,D,D10, ,RW10,CY,P,G,G M , ,   ,FA, ,YVQ,CY,D, ,      ,2787,0026,0990,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D10, ,YVQ,CY,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D10, ,YVQ,CY,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,2790,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D28,MIBNU,MIBNU,CY,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D28,MIBNU,XIKEX,CY,P,C,E   ,L,   ,AF, ,YVQ,CY,D, ,      ,0987,0210,1240,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D28,MIBNU,OVILU,CY,P,C,EE B, ,   ,CF, ,YVQ,CY,D, ,      ,0987,0100,2790,0110,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D28,XIKEX,XIKEX,CY,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D28,XIKEX,OVILU,CY,P,C,EE B, ,   ,CF, ,YVQ,CY,D, ,      ,0987,0100,2790,0110,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D28, ,OVILU,CY,P,C,E  I, ,   ,IF, ,YVQ,CY,D, ,      ,0987,0100,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:015,D,D28, ,IRKAV,CY,P,C,E S , ,   ,CF, ,YVQ,CY,D, ,      ,0987,0075,2790,0025,+,03440,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D28, ,WULLS,CY,P,C,E  F, ,   ,CF, ,YVQ,CY,D, ,      ,0987,0040,2790,0035,+,02230,     ,     , ,   ,-327,   ,YVQ,CY,D, , ,0, ,S;
APPCH:025,D,D28, ,YVQ,CY,D, ,V S , ,   ,CF, ,YVQ,CY,D, ,      ,0000,0000,2790,0040,+,00840,     ,     , ,   ,-327,   , , , , , ,0, ,S;
APPCH:030,D,D28, ,RW28,CY,P,G,G  M, ,   ,CF, ,YVQ,CY,D, ,      ,2787,0016,2790,0016, ,00285,     ,     , ,   ,-327,   , , , , , ,0, ,S;
APPCH:040,D,D28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2790,    ,+,00640,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D28, , , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2320,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D28, ,YVQ,CY,D, ,V   , ,   ,FA, ,YVQ,CY,D, ,      ,0000,0000,2660,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,D,D28, ,YVQ,CY,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:080,D,D28, ,YVQ,CY,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2790,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R10,LIVMU,LIVMU,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10,LIVMU,VINPI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R10,ROPGA,ROPGA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10,ROPGA,VINPI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R10, ,VINPI,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:015,R,R10, ,USBAX,CY,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,0970,0032,+,02860,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R10, ,SUSUT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0970,0030,+,01900,     ,     , ,   ,-300,   ,RW10,CY,P,G,A,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R10, ,RW10,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0970,0051, ,00287,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R10, ,URLUB,CY,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R10, ,DUNEK,CY,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,06100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R10, ,DUNEK,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,1080,T010, ,     ,     ,     ,-,265,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,TOVIP,TOVIP,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,TOVIP,RERER,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,VIRMI,VIRMI,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,VIRMI,RERER,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R28, ,RERER,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R28, ,MUPUB,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2780,0062,+,01900,     ,     , ,   ,    ,   ,RW28,CY,P,G,A,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R28, ,RUBKU,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2780,0036,+,00760,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R28, ,RW28,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2780,0015, ,00285,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R28, ,BONEB,CY,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R28, ,SENLI,CY,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,05800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R28, ,SENLI,CY,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,2620,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW10 ,     ,      ,00237, ,    , ,   ;N65170646,W126485730,0000;
RWY:RW28 ,     ,      ,00235, ,    , ,   ;N65163907,W126465241,0000;
