SID:010,2,DOKI1A,RW11,ME,UH,P,N,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:015,2,DOKI1A,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,02120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOKI1A,RW11, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,3350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOKI1A,RW11,DOKIR,UH,E,A,EEC , ,   ,CF, ,NA,UH,D, ,      ,0231,0373,0210,0300,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOKI1B,RW11,NA,UH,D, ,VY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:015,2,DOKI1B,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,02120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOKI1B,RW11, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3230,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOKI1B,RW11,DOKIR,UH,E,A,EEC , ,   ,CF, ,NA,UH,D, ,      ,0231,0373,0230,0320,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOKI1C,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,01820,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,2,DOKI1C,RW29,ME,UH,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOKI1C,RW29,DOKIR,UH,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOKI1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,01820,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,2,DOKI1D,RW29,NA,UH,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOKI1D,RW29,DOKIR,UH,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOKI1E,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,02120,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,5,DOKI1E,RW11,DOKIR,UH,E,A,EEC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOKI1F,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,01820,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,5,DOKI1F,RW29,DOKIR,UH,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIGO1A,RW11,ME,UH,P,N,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,2,GIGO1A,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,02120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIGO1A,RW11, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0750,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GIGO1A,RW11,GIGOR,UH,E,A,EE  , ,   ,CF, ,NA,UH,D, ,      ,0866,0417,0860,0310,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIGO1B,RW11,NA,UH,D, ,VY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,2,GIGO1B,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,02120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIGO1B,RW11, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0710,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GIGO1B,RW11,GIGOR,UH,E,A,EE  , ,   ,CF, ,NA,UH,D, ,      ,0866,0417,0870,0330,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIGO1C,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,01820,     ,07050, ,   ,    ,   ,UHNN,UH,P,A, , , , ;
SID:020,2,GIGO1C,RW29,ME,UH,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
