SID:010,5,SEWAR1,RW13, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1270,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
APPCH:030,A,R31-M,SEWAR,ZELCA,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05300,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:040,A,R31-M,SEWAR,COYTE,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,R31-M,TANNI,TANNI,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06900,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,A,R31-M,TANNI,ZELCA,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05300,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:030,A,R31-M,TANNI,COYTE,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,R31-M,WUXAN,WUXAN,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,A,R31-M,WUXAN,TERZO,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:030,A,R31-M,WUXAN,COYTE,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,R,R31-M, ,COYTE,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,R,R31-M, ,JAACB,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3510,0036,+,03200,     ,     , ,   ,    ,   ,MAJIR,PA,P,C, ,A,W,S;
PRDAT:A,        LP, ,          , ,          , ,   , ,   , ,   , ,   ,W,S;
APPCH:025,R,R31-M, ,KKETH,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,3300,0025,+,02320,     ,     , ,   ,-330,   , , , , , ,A,W,S;
APPCH:027,R,R31-M, ,JOOLL,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,3300,0041,+,00900,     ,     , ,   ,-330,   , , , , , ,A,W,S;
APPCH:030,R,R31-M, ,MAJIR,PA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3300,0017, ,00299,     ,     , ,   ,-330,   , , , , , ,A,W,S;
APPCH:040,R,R31-M, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3300,    ,+,00700,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:050,R,R31-M, ,FIVOR,PA,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:060,R,R31-M, ,JUSTI,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:070,R,R31-M, ,AROLD,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:080,R,R31-M, ,OLLIN,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:090,R,R31-M, ,SEWAR,PA,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07300,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:100,R,R31-M, ,SEWAR,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,1180,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,RNVA,BROIL,BROIL,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,BROIL,SAKHI,PA,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVA,BROIL,COPVI,PA,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,COPVI,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,UTANY,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1510,0021,+,05900,     ,     , ,   ,    ,   ,ECAXE,PA,P,C, ,B,J,C;
APPCH:025,R,RNVA, ,BRINT,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1660,0044,+,04300,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNVA, ,ECAXE,PA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1660,0045, ,02660,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, ,TUJVE,PA,P,C,E M , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,HEXEG,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNVA, ,WIXIR,PA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:070,R,RNVA, ,SEWAR,PA,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:080,R,RNVA, ,SEWAR,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0050,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW13 ,     ,      ,00028, ,    , ,   ;N60080375,W149251561,0000;
RWY:RW16 ,     ,      ,00025, ,    , ,   ;N60080120,W149251507,0000;
RWY:RW31 ,     ,      ,00019, ,    , ,   ;N60072889,W149242919,0000;
RWY:RW34 ,     ,      ,00017, ,    , ,   ;N60073869,W149251238,0000;
