SID:010,2,ASTA1A,RW03B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0300,    ,+,03560,     ,10000, ,   ,    ,   ,BUK,LT,D, , , , , ;
SID:020,2,ASTA1A,RW03B,BUK,LT,D, ,VY H, ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ASTA1A,RW03B,ASTAL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ASTA1B,RW21B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2100,    ,+,03530,     ,10000, ,   ,    ,   ,ANK,LT,D,B, , , , ;
SID:015,2,ASTA1B,RW21B,ANK,LT,D,B,EY H, ,   ,CF, ,BUK,LT,D, ,      ,2104,0215,2100,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ASTA1B,RW21B,ASTAL,LT,E,A,EE  ,R,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASTA1J,RW03R,AC044,LT,P,C,E   , ,   ,CF, ,CAY,LT,D, ,      ,1421,0910,0250,0060, ,     ,     ,10000,-,230,    ,   ,BUK,LT,D, , , , , ;
SID:020,5,ASTA1J,RW03R,ASTAL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASTA1L,RW03R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0300,    ,+,03560,     ,10000, ,   ,    ,   ,BUK,LT,D, , , , , ;
SID:020,5,ASTA1L,RW03R,AC143,LT,P,C,E   , ,   ,CF, ,CAY,LT,D, ,      ,1412,0952,0620,0075, ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,ASTA1L,RW03R,AC261,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ASTA1L,RW03R,ASTAL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ASTA1T,RW03C,AC044,LT,P,C,E   , ,   ,CF, ,CAY,LT,D, ,      ,1421,0910,0320,0060, ,     ,     ,10000,-,230,    ,   ,BUK,LT,D, , , , , ;
SID:020,4,ASTA1T,RW03C,ASTAL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ASTA1T,RW03L,AC044,LT,P,C,E   , ,   ,CF, ,CAY,LT,D, ,      ,1421,0910,0320,0060, ,     ,     ,10000,-,230,    ,   ,BUK,LT,D, , , , , ;
SID:020,4,ASTA1T,RW03L,ASTAL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AZBU1D,RW21C,AC611,LT,P,C,E   , ,   ,CF, ,BUK,LT,D, ,      ,2105,0175,2100,0090, ,     ,     ,10000,-,230,    ,   ,BUK,LT,D, , , , , ;
SID:020,4,AZBU1D,RW21C,AC630,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AZBU1D,RW21C,AC615,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AZBU1D,RW21C,AC616,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AZBU1D,RW21C,AC618,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AZBU1D,RW21C,AZBUL,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AZBU1D,RW21R,AC611,LT,P,C,E   , ,   ,CF, ,BUK,LT,D, ,      ,2105,0175,2100,0090, ,     ,     ,10000,-,230,    ,   ,BUK,LT,D, , , , , ;
SID:020,4,AZBU1D,RW21R,AC630,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AZBU1D,RW21R,AC615,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AZBU1D,RW21R,AC616,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AZBU1D,RW21R,AC618,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
