APPCH:010,A,P15,FOYDE,FOYDE,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,A,P15,FOYDE,ELUTY,K3,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:030,A,P15,FOYDE,HOBIT,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:010,A,P15,LEFTY,LEFTY,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,A,P15,LEFTY,GAWTU,K3,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:030,A,P15,LEFTY,HOBIT,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:010,P,P15, ,HOBIT,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,P,P15, ,FOGFI,K3,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,    ,0050,+,02900,     ,     , ,   ,    ,   ,RW15,K3,P,G, ,P,P,S;
APPCH:030,P,P15, ,RW15,K3,P,G,G  M, ,   ,TF, , , , , ,      ,    ,    ,    ,0050, ,01319,     ,     , ,   ,-298,   , , , , , ,P,P,S;
APPCH:040,P,P15, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1520,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:050,P,P15, ,HOBIT,K3,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:060,P,P15, ,HOBIT,K3,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,1520,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:010,A,P33,FOYDE,FOYDE,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,A,P33,FOYDE,MIZAB,K3,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:030,A,P33,FOYDE,KANTE,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:010,A,P33,IVOSE,IVOSE,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,A,P33,IVOSE,KANTE,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:010,P,P33, ,KANTE,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,P,P,S;
APPCH:020,P,P33, ,JEJAW,K3,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,    ,0050,+,02900,     ,     , ,   ,    ,   ,RW33,K3,P,G, ,P,P,S;
APPCH:030,P,P33, ,RW33,K3,P,G,G  M, ,   ,TF, , , , , ,      ,    ,    ,    ,0050, ,01305,     ,     , ,   ,-301,   , , , , , ,P,P,S;
APPCH:040,P,P33, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3320,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:050,P,P33, ,KANTE,K3,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,P,P,S;
APPCH:060,P,P33, ,KANTE,K3,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3320,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,P,P,S;
RWY:RW15 ,     ,      ,01279, ,    , ,   ;N43220817,W092080778,0000;
RWY:RW33 ,     ,      ,01265, ,    , ,   ;N43214196,W092075037,0000;
