APPCH:010,A,S28,DRZ1,DRZ,OS,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,15000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,S28,DRZ1,DRZ,OS,D, ,V   , ,   ,FD, ,DRZ,OS,D, ,      ,0000,0000,0880,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S28,DRZ1,FS28,OS,P,C,EE  ,R,   ,CF,Y,DRZ,OS,D, ,      ,1060,0070,2860,0030,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S28,DRZ2,DRZ,OS,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,15000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,S28,DRZ2,DRZ,OS,D, ,V   , ,   ,FD, ,DRZ,OS,D, ,      ,0000,0000,0940,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S28,DRZ2,FS28,OS,P,C,EE  ,R,   ,CF,Y,DRZ,OS,D, ,      ,1060,0070,2860,0030,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S28, ,FS28,OS,P,C,E  F, ,   ,IF, ,DRZ,OS,D, ,      ,1060,0070,    ,    ,+,02500,     ,15000, ,   ,    ,   ,OSDZ,OS,P,A, ,0, ,S;
APPCH:030,S,S28, ,RW28,OS,P,G,G  M, ,   ,CF, ,DRZ,OS,D, ,      ,1056,0020,2860,0050, ,00727,     ,     , ,   ,-332,   , , , , , ,0, ,S;
APPCH:040,S,S28, ,DRZ,OS,D, ,V M , ,   ,CF, ,DRZ,OS,D, ,      ,0000,0000,2860,0020,+,01100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S28, ,DRZ,OS,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,2860,T010, ,04000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
RWY:RW10 ,     ,      ,00700, ,    , ,   ;N35172414,E040093830,0000;
RWY:RW28 ,     ,      ,00669, ,    , ,   ;N35165131,E040112948,0000;
