APPCH:010,A,R10,TESUD,TESUD,CY,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10,TESUD,MIVIR,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:030,A,R10,TESUD,NOXAK,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     ,-,180,    ,   , , , , , ,A,J,S;
APPCH:010,R,R10, ,NOXAK,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,18000,-,180,    ,   , , , , , ,A,J,S;
APPCH:020,R,R10, ,VOLOK,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,099T,0060,+,03100,     ,     , ,   ,    ,   ,RW10,CY,P,G,A,A,J,S;
PRDAT:A,       LPV, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R10, ,RW10,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,099T,0051, ,01451,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R10, ,XIKEG,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R10, ,XIKEG,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,099T,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,TESUD,TESUD,CY,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,TESUD,KEPRU,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:030,A,R28,TESUD,MAXUS,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     ,-,180,    ,   , , , , , ,A,J,S;
APPCH:010,R,R28, ,MAXUS,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,18000,-,180,    ,   , , , , , ,A,J,S;
APPCH:020,R,R28, ,OVUVO,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,280T,0060,+,03100,     ,     , ,   ,    ,   ,RW28,CY,P,G,A,A,J,S;
PRDAT:A,       LPV, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R28, ,RW28,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,279T,0051, ,01446,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R28, ,XUKTU,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,03100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R28, ,XUKTU,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,279T,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW10 ,     ,      ,01411, ,    , ,   ;N64304496,W110182204,0000;
RWY:RW28 ,     ,      ,01406, ,    , ,   ;N64303677,W110162401,0000;
