SID:010,5,AMOL2F,RW18,RA400,EV,P,C,E   , ,   ,CF, ,RIA,EV,D, ,      ,1727,0043,1750,0034,+,01500,     ,05000,-,210,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,AMOL2F,RW18,RA401,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AMOL2F,RW18,RA402,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AMOL2F,RW18,RA403,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AMOL2F,RW18,RA407,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AMOL2F,RW18,RA409,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,AMOL2F,RW18,AMOLI,EV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMOL2H,RW36, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3550,    ,+,00600,     ,05000, ,   ,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,AMOL2H,RW36,RA500,EV,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AMOL2H,RW36,RA520,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AMOL2H,RW36,RA522,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AMOL2H,RW36,RA521,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AMOL2H,RW36,AMOLI,EV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASKO2F,RW18,RA400,EV,P,C,E   , ,   ,CF, ,RIA,EV,D, ,      ,1727,0043,1750,0034,+,01600,     ,05000,-,210,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,ASKO2F,RW18,RA430,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ASKO2F,RW18,RA431,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ASKO2F,RW18,RA432,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ASKO2F,RW18,RA433,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ASKO2F,RW18,ASKOR,EV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASKO2H,RW36, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3550,    ,+,00600,     ,05000, ,   ,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,ASKO2H,RW36,RA500,EV,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ASKO2H,RW36,RA551,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ASKO2H,RW36,RA552,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ASKO2H,RW36,RA553,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ASKO2H,RW36,RA533,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ASKO2H,RW36,RA554,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ASKO2H,RW36,ASKOR,EV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASKO4J,RW36,RA505,EV,P,C,EY  , ,   ,CF, ,RIA,EV,D, ,      ,3600,0022,3550,0013,+,01000,     ,05000,-,180,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,ASKO4J,RW36,RA529,EV,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,ASKO4J,RW36,RA530,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,5,ASKO4J,RW36,RA531,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ASKO4J,RW36,RA532,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ASKO4J,RW36,RA533,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ASKO4J,RW36,RA536,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ASKO4J,RW36,ASKOR,EV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BERI2F,RW18,RA400,EV,P,C,E   , ,   ,CF, ,RIA,EV,D, ,      ,1727,0043,1750,0034,+,01600,     ,05000,-,210,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,BERI2F,RW18,RA430,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BERI2F,RW18,RA431,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BERI2F,RW18,RA432,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BERI2F,RW18,BERIL,EY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BERI2H,RW36, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3550,    ,+,00600,     ,05000, ,   ,    ,   ,EVRA,EV,P,A, , , , ;
SID:020,5,BERI2H,RW36,RA500,EV,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BERI2H,RW36,RA551,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BERI2H,RW36,RA552,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BERI2H,RW36,RA553,EV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
