SID:010,5,LUC2N,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3050,    ,+,01800,     ,05000,-,175,    ,   ,LFMQ,LF,P,A, , , , ;
SID:020,5,LUC2N,RW30,MQ604,LF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LUC2N,RW30,MQ606,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,LUC2N,RW30,TRETS,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LUC2N,RW30,LUC,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LUC2S,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1250,    ,+,01900,     ,05000,-,175,    ,   ,LFMQ,LF,P,A, , , , ;
SID:020,5,LUC2S,RW12,MQ604,LF,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LUC2S,RW12,MQ606,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,LUC2S,RW12,TRETS,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LUC2S,RW12,LUC,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MTG2N,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3050,    ,+,01800,     ,05000,-,175,    ,   ,LFMQ,LF,P,A, , , , ;
SID:020,5,MTG2N,RW30,MQ604,LF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MTG2N,RW30,MRM,LF,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MTG2N,RW30,MTG,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MTG2S,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1250,    ,+,01900,     ,05000,-,175,    ,   ,LFMQ,LF,P,A, , , , ;
SID:020,5,MTG2S,RW12,MQ604,LF,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MTG2S,RW12,MRM,LF,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
