SID:010,5,DIRK1D,RW21,MOKAM,DG,P,C,EY  , ,   ,CF, ,ACC,DG,D, ,      ,2064,0059,2060,0040, ,     ,     ,03000,-,210,    ,   , , , , , , , , ;
SID:015,5,DIRK1D,RW21,KINPA,DG,P,C,E   , ,   ,CF, ,ACC,DG,D, ,      ,2308,0121,2550,0060,+,02300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,DIRK1D,RW21,LINOX,DG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DIRK1D,RW21,DIRKO,DG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EREK1C,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0260,    ,+,00700,     ,03000,-,210,    ,   , , , , , , , , ;
SID:020,5,EREK1C,RW03,NARMA,DG,P,C,E   , ,   ,CF, ,ACC,DG,D, ,      ,0666,0285,0690,0270,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EREK1C,RW03,EREKA,DG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EREK1D,RW21,BIGER,DG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   , , , , , , , , ;
SID:015,5,EREK1D,RW21, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0960,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,EREK1D,RW21,ODMAS,DG,P,C,E   , ,   ,CF, ,ACC,DG,D, ,      ,0818,0289,0660,0280,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EREK1D,RW21,EREKA,DG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KEMO1C,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0260,    ,+,00700,     ,03000,-,210,    ,   , , , , , , , , ;
SID:020,5,KEMO1C,RW03,AA300,DG,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KEMO1C,RW03,DEKAR,DG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,KEMO1C,RW03,KEMOK,DG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KEMO1D,RW21,MOKAM,DG,P,C,EY  , ,   ,CF, ,ACC,DG,D, ,      ,2064,0059,2060,0040, ,     ,     ,03000,-,210,    ,   , , , , , , , , ;
SID:020,5,KEMO1D,RW21,APOPO,DG,P,C,E   ,R,   ,CF,Y,ACC,DG,D, ,      ,2754,0054,0260,0040,B,FL060,03000,     ,-,210,    ,   , , , , , , , , ;
