SID:010,1,BYRRD9,RW15T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,341T,    ,+,00432,     ,18000, ,   ,    ,   ,ZFX,A1,D, , , , , ;
SID:015,1,BYRRD9,RW15T, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,290T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:020,1,BYRRD9,RW15T,BYRRD,NZ,E,A,EB  , ,   ,CF, ,ZFX,A1,D, ,      ,3196,0350,320T,0341,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,BYRRD9,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,161T,    ,+,00435,     ,18000, ,   ,    ,   ,ZFX,A1,D, , , , , ;
SID:020,1,BYRRD9,RW33T, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,005T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:030,1,BYRRD9,RW33T,BYRRD,NZ,E,A,EB  , ,   ,CF, ,ZFX,A1,D, ,      ,3196,0350,320T,0304,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NOBEY9,RW15T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,341T,    ,+,00600,     ,18000, ,   ,    ,   ,NZFX,A1,P,A, , , , ;
SID:020,4,NOBEY9,RW15T,NOBEY,NZ,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,NOBEY9,RW15T,NOBEY,NZ,E,A,EE H,L,   ,HA, , , , , ,      ,    ,    ,325T,0040,+,03000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,4,NOBEY9,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,161T,    ,+,00600,     ,18000, ,   ,    ,   ,NZFX,A1,P,A, , , , ;
SID:020,4,NOBEY9,RW33T,NOBEY,NZ,E,A,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,NOBEY9,RW33T,NOBEY,NZ,E,A,EE H,L,   ,HA, , , , , ,      ,    ,    ,325T,0040,+,03000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,1,ZELBA9,RW15T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,341T,    ,+,00432,     ,18000, ,   ,    ,   ,ZFX,A1,D, , , , , ;
SID:015,1,ZELBA9,RW15T, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,142T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:020,1,ZELBA9,RW15T,JELOT,A1,P,C,E   , ,   ,CF, ,ZFX,A1,D, ,      ,0978,0100,098T,0045,-,14900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ZELBA9,RW15T,ZELBA,A1,E,A,EY  , ,   ,CF, ,ZFX,A1,D, ,      ,0978,0222,098T,0122,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ZELBA9,RW15T,ZELBA,A1,E,A,EE H,R,   ,HA, , , , , ,      ,    ,    ,278T,0070,+,03400,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,1,ZELBA9,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,161T,    ,+,00435,     ,18000, ,   ,    ,   ,ZFX,A1,D, , , , , ;
SID:015,1,ZELBA9,RW33T, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,052T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:020,1,ZELBA9,RW33T,JELOT,A1,P,C,E   , ,   ,CF, ,ZFX,A1,D, ,      ,0978,0100,098T,0035,-,14900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ZELBA9,RW33T,ZELBA,A1,E,A,EY  , ,   ,CF, ,ZFX,A1,D, ,      ,0978,0222,098T,0121,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ZELBA9,RW33T,ZELBA,A1,E,A,EE H,R,   ,HA, , , , , ,      ,    ,    ,278T,0070,+,03400,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:010,5,ACREZ1,ALL,WAIS1,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ACREZ1,ALL,RULOE,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ACREZ1,ALL,ACREZ,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ACREZ2,ALL,P4,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ACREZ2,ALL,RULOE,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ACREZ2,ALL,ACREZ,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ACREZ3,ALL,P1,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ACREZ3,ALL,SARBE,A1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ACREZ3,ALL,RULOE,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ACREZ3,ALL,ACREZ,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ACREZ4,ALL,P9,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ACREZ4,ALL,WIKAL,A1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ACREZ4,ALL,RULOE,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ACREZ4,ALL,ACREZ,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,CRSTI1,ALL,P9,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,CRSTI1,ALL,CRSTI,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FABOS1,ALL,P1,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FABOS1,ALL,FABOS,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FAVGU1,ALL,P4,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FAVGU1,ALL,P10,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,FAVGU1,ALL,WABAB,A1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,FAVGU1,ALL,FAVGU,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FAVGU2,ALL,P1,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FAVGU2,ALL,P10,A1,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,FAVGU2,ALL,WABAB,A1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,FAVGU2,ALL,FAVGU,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FAVGU3,ALL,P9,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,20000, ,   ,    ,   , , , , , , , , ;
