SID:010,4,BARII3,RW03, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0270,    , ,     ,     ,18000, ,   ,    ,   ,KTTF,K5,P,A, , , , ;
SID:020,4,BARII3,RW03,HUUTZ,K5,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BARII3,RW21, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2080,    , ,     ,     ,18000, ,   ,    ,   ,KTTF,K5,P,A, , , , ;
SID:020,4,BARII3,RW21,HUUTZ,K5,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BARII3, ,HUUTZ,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KTTF,K5,P,A, , , , ;
SID:020,5,BARII3, ,BARII,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BARII3,SINKR,BARII,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KTTF,K5,P,A, , , , ;
SID:020,6,BARII3,SINKR,SINKR,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CCOBB3,RW03, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0270,    , ,     ,     ,18000, ,   ,    ,   ,KTTF,K5,P,A, , , , ;
SID:020,4,CCOBB3,RW03,BROZZ,K5,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
