SID:010,5,BURI1D,RW07,SU722,UA,P,C,EY  , ,010,CF, ,TDK,UA,D, ,      ,0429,1835,0670,0030,+,02300,     ,10000,-,240,    ,   ,UASU,UA,P,A, , , , ;
SID:020,5,BURI1D,RW07,SU705,UA,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BURI1D,RW07,SU726,UA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BURI1D,RW07,BURID,UA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BURI1E,RW25,SU701,UA,P,C,E   , ,010,CF, ,TDK,UA,D, ,      ,0418,1751,2470,0048,+,03400,     ,10000, ,   ,    ,   ,UASU,UA,P,A, , , , ;
SID:020,5,BURI1E,RW25,SU702,UA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BURI1E,RW25,SU726,UA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BURI1E,RW25,SU726,UA,P,C,E  H,L,010,HM, , , , , ,      ,    ,    ,2760,T010,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BURI1E,RW25,BURID,UA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BURI5A,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0670,    ,+,02700,     ,10000, ,   ,    ,   ,UGN,UA,D,B, , , , ;
SID:020,2,BURI5A,RW07,UGN,UA,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BURI5A,RW07,UGN,UA,D,B,E  H,L,   ,HA, , , , , ,      ,    ,    ,2510,T010,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BURI5A,RW07,BURID,UA,E,A,EEC , ,   ,CF, ,AGZ,UA,D, ,      ,1505,0581,2580,0270,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BURI5B,RW25, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2470,    ,+,02700,     ,10000, ,   ,    ,   ,UGN,UA,D,B, , , , ;
SID:020,2,BURI5B,RW25,UGN,UA,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BURI5B,RW25,UGN,UA,D,B,E  H,L,   ,HA, , , , , ,      ,    ,    ,2510,T010,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BURI5B,RW25,BURID,UA,E,A,EEC , ,   ,CF, ,AGZ,UA,D, ,      ,1505,0581,2580,0270,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NINK1A,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0670,    ,+,02700,     ,10000, ,   ,    ,   ,UGN,UA,D,B, , , , ;
SID:020,2,NINK1A,RW07,UGN,UA,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
