SID:010,2,AUC3A,RW07,D068G,SK,P,C,E   , ,   ,CF, ,TME,SK,D, ,      ,0680,0068,0680,0068,+,02500,     ,18000, ,   ,    ,   ,TME,SK,D, ,B, , , ;
SID:020,2,AUC3A,RW07,AUC,SK,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ISRO1A,RW07,D068G,SK,P,C,EY  , ,   ,CF, ,TME,SK,D, ,      ,0680,0068,0680,0068,+,03400,     ,18000, ,   ,    ,   ,TME,SK,D, ,B, , , ;
SID:020,2,ISRO1A,RW07,TME,SK,D, ,V   ,L,   ,CF,Y,TME,SK,D, ,      ,0000,0000,2270,0070,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,ISRO1A,RW07,D247J,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:027,2,ISRO1A,RW07,D247P,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ISRO1A,RW07,ISROD,SK,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,REMI2A,RW07,D068G,SK,P,C,EY  , ,   ,CF, ,TME,SK,D, ,      ,0680,0068,0680,0068,+,02500,     ,18000, ,   ,    ,   ,TME,SK,D, ,B, , , ;
SID:020,2,REMI2A,RW07,TME,SK,D, ,V   ,L,   ,CF,Y,TME,SK,D, ,      ,0000,0000,2270,0070,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,REMI2A,RW07,REMIB,SK,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,UTNU1D,RW07,D068G,SK,P,C,E   , ,   ,CF, ,TME,SK,D, ,      ,0680,0068,0680,0068,+,02500,     ,18000, ,   ,    ,   ,TME,SK,D, ,B, , , ;
SID:020,2,UTNU1D,RW07,TME,SK,D, ,V   ,L,   ,CF,Y,TME,SK,D, ,      ,0000,0000,2270,0070,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,UTNU1D,RW07,UTNUS,SK,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D07,TME,TME,SK,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,19000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D07,TME,TME,SK,D, ,V   , ,   ,FD, ,TME,SK,D, ,      ,0000,0000,2280,0050,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D07,TME,FF07,SK,P,C,EE  ,R,   ,CF,Y,TME,SK,D, ,      ,2500,0050,0700,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D07, ,FF07,SK,P,C,E  F, ,   ,IF, ,TME,SK,D, ,      ,2500,0050,    ,    ,+,02600,     ,19000, ,   ,    ,   ,TME,SK,D, ,A,0, ,S;
APPCH:030,D,D07, ,RW07,SK,P,G,G  M, ,   ,CF, ,TME,SK,D, ,      ,2534,0009,0700,0041, ,01281,     ,     , ,   ,-304,   , , , , , ,0, ,S;
APPCH:040,D,D07, ,TME,SK,D, ,V M , ,   ,CF, ,TME,SK,D, ,      ,0000,0000,0700,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D07, ,TME,SK,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2280,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW07 ,     ,      ,01241, ,    , ,   ;N06264699,W071460401,0000;
RWY:RW25 ,     ,      ,01118, ,    , ,   ;N06272058,W071450764,0000;
