SID:010,2,ARK17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,ARK17D,RW17B,ARKEK,UT,P,C,EEC ,L,   ,CF, ,LBA,UT,D, ,      ,2165,1015,0430,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ARK35D,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,ARK35D,RW35B,ARKEK,UT,P,C,EEC ,R,   ,CF, ,LBA,UT,D, ,      ,2165,1015,1080,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,BAS17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:010,2,BAS17D,RW17B,BASVO,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2231,1436,2410,0280, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BAS17D,RW17B,OLADI,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAS35D,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,BAS35D,RW35B,BASVO,UT,P,C,E C ,L,   ,CF,Y,LBA,UT,D, ,      ,2231,1436,2170,0320, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAS35D,RW35B,OLADI,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAS35E,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,BAS35E,RW35B,D084D,UT,P,C,EY  ,R,   ,CF,Y,LBA,UT,D, ,      ,2188,1104,1740,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAS35E,RW35B,BASVO,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2231,1436,2390,0330, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAS35E,RW35B,OLADI,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EKD17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:015,2,EKD17D,RW17B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1390,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,EKD17D,RW17B,EKDIN,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2047,1110,1090,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,EKD17D,RW17B,LEMOD,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EKD35D,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,EKD35D,RW35B,EKDIN,UT,P,C,E C ,R,   ,CF,Y,LBA,UT,D, ,      ,2047,1110,1330,0330, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EKD35D,RW35B,LEMOD,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIN17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,GIN17D,RW17B,D034G,UT,P,C,EY  ,L,   ,CF,Y,LBA,UT,D, ,      ,2207,1067,3540,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIN17D,RW17B,GINET,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2356,1256,2840,0340, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GIN17D,RW17B,ABDAN,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIN35D,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,GIN35D,RW35B,GINET,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2356,1256,2840,0300, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIN35D,RW35B,ABDAN,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LUN17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,LUN17D,RW17B,LUNEB,UT,P,C,E C ,L,   ,CF,Y,LBA,UT,D, ,      ,2226,0790,0250,0350, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LUN17D,RW17B,OLCHE,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LUN35D,RW35B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3540,    ,+,01400,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,LUN35D,RW35B,LUNEB,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2226,0790,0440,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LUN35D,RW35B,OLCHE,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MIV17D,RW17B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1740,    ,+,02700,     ,04000, ,   ,    ,   ,UTAM,UT,P,A, , , , ;
SID:020,2,MIV17D,RW17B,D034G,UT,P,C,EY  ,L,   ,CF,Y,LBA,UT,D, ,      ,2207,1067,3540,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MIV17D,RW17B,MIVNA,UT,P,C,E C , ,   ,CF, ,LBA,UT,D, ,      ,2340,1302,2740,0340, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
