SID:010,2,ABGA1C,RW06,NF,UR,P,N,EY  , ,   ,CF, ,WLK,UR,D, ,      ,2891,0459,0560,0030,+,02000,     ,05000, ,   ,    ,   ,NF,UR,P,N, , , , ;
SID:020,2,ABGA1C,RW06, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,3080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABGA1C,RW06,ABGAM,UR,E,A,EEC , ,   ,CF, ,WLK,UR,D, ,      ,2984,0589,3260,0090,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABGA1D,RW06,N,UR,P,N,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,N,UR,P,N, , , , ;
SID:020,2,ABGA1D,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABGA1D,RW06, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,3010,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ABGA1D,RW06,ABGAM,UR,E,A,EEC , ,   ,CF, ,WLK,UR,D, ,      ,2984,0589,3320,0100,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABGA1E,RW06,DER24,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,URMN,UR,P,A, , , , ;
SID:020,5,ABGA1E,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,02000,     ,     ,-,265,    ,   , , , , , , , , ;
SID:030,5,ABGA1E,RW06,ABGAM,UR,E,A,EEC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABGA1G,RW06,NF,UR,P,N,EY  , ,   ,CF, ,WLK,UR,D, ,      ,2891,0459,0560,0030, ,     ,     ,05000, ,   ,    ,   ,NF,UR,P,N, , , , ;
SID:020,2,ABGA1G,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,04500,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,2,ABGA1G,RW06, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2360,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ABGA1G,RW06,ABGAM,UR,E,A,EEC , ,   ,CF, ,WLK,UR,D, ,      ,2984,0589,3260,0130,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABGA1H,RW06,N,UR,P,N,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,N,UR,P,N, , , , ;
SID:020,2,ABGA1H,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,04000,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,2,ABGA1H,RW06, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2360,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ABGA1H,RW06,ABGAM,UR,E,A,EEC ,R,   ,CF, ,WLK,UR,D, ,      ,2984,0589,3320,0120,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABGA1J,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,01870,     ,05000, ,   ,    ,   ,URMN,UR,P,A, , , , ;
SID:020,5,ABGA1J,RW06,MN018,UR,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,265,    ,   , , , , , , , , ;
SID:030,5,ABGA1J,RW06,MN022,UR,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABGA1J,RW06,ABGAM,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DUFL1C,RW06,NF,UR,P,N,EY  , ,   ,CF, ,WLK,UR,D, ,      ,2891,0459,0560,0030,+,02000,     ,05000, ,   ,    ,   ,NF,UR,P,N, , , , ;
SID:020,2,DUFL1C,RW06, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2120,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DUFL1C,RW06,DUFLE,UR,E,A,EEC , ,   ,CF, ,WLK,UR,D, ,      ,2759,0736,2550,0270,+,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
